15.9,100121,100.9764731,108,1047,69,-14,-439,-557
15.9,100105,101.4808837,106,1048,67,-10,-441,-554
15.9,100114,101.4808837,109,1047,65,-13,-443,-555
15.8,100000,110.6486083,491,2035,-469,-424,299,-349
15.5,100037,108.0404508,114,1200,-384,300,-112,83
15.4,100013,109.8071957,20,-23,-521,-218,-404,-701
15.2,100083,103.4987712,-39,-18,-817,87,536,-387
15.1,100116,101.4808837,-202,26,955,-58,-94,-945
15.3,100115,100.5561496,-347,64,991,33,-154,-944
15.3,100112,100.9764731,-350,59,992,34,-158,-946
15.3,100108,101.5649546,-347,65,987,32,-155,-947
